"IS01"	"IS02"
"ENPP3__neg"	1.87615285474013	10.5057457885785
"ERVFRD.1__neg"	1.70110337691116	11.177256084882
"GATA1__neg"	2.22044604925031e-16	12.7051547245224
"GFI1B__neg"	2.5901035454952	10.427571860771
"GRAP2__neg"	2.22044604925031e-16	12.7962721326006
"GSDMA__neg"	3.1962497546228	9.85655524299395
"GSDMC__neg"	2.43284163158024	9.70869872183573
"HDC__neg"	2.22044604925031e-16	12.5561194764351
"HPGDS__neg"	1.13435990652707	11.6353849191126
"IGFBP4__neg"	2.4604736876002	10.3736032937489
"KITLG__neg"	4.9689998773334	8.14607296060849
"KRT71__neg"	6.16478134568889	7.13435871655503
"LIF__neg"	5.26758596884476	7.67646798673299
"LINC00694__neg"	1.9009835159517	11.2990185203363
