"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"NCKAP1L"	"NCKAP1L"	0.88115362155507	-1.17500903504333	0.284922012296387	"IS01"	0.88115362155507
"TRIM14"	"TRIM14"	0.86935767414045	-0.773149266572257	-0.136166859648853	"IS01"	0.86935767414045
"FAM78A"	"FAM78A"	0.86787812586826	-0.942222667860682	0.0481974221991599	"IS01"	0.86787812586826
"FCRL2"	"FCRL2"	0.867170631345346	-0.394619432967515	-0.542783869860602	"IS01"	0.867170631345346
"IL9R"	"IL9R"	0.855052167883298	-0.354629354832583	-0.572454733407685	"IS01"	0.855052167883298
"CSTA"	"CSTA"	0.849837617447211	-1.05873332803018	0.194269444617541	"IS01"	0.849837617447211
"RASGRP2"	"RASGRP2"	0.84220422229982	-0.485102262857602	-0.417097994033847	"IS01"	0.84220422229982
"RBP5"	"RBP5"	0.839577196557752	-0.581864670831617	-0.309594666768324	"IS01"	0.839577196557752
"NCCRP1"	"NCCRP1"	0.828896182407599	0.118718095761494	-1.05474722258795	"IS01"	0.828896182407599
"C1orf228"	"C1orf228"	0.828437279363634	-0.426524119872208	-0.465013708628483	"IS01"	0.828437279363634
"FCRL1"	"FCRL1"	0.824276415199286	-0.184753079576645	-0.721635043914811	"IS01"	0.824276415199286
"INPP5D"	"INPP5D"	0.821250233775956	-1.42783997230517	0.625099642937395	"IS01"	0.821250233775956
"BFSP2"	"BFSP2"	0.81915915925767	-0.734924020033587	-0.12136864194882	"IS01"	0.81915915925767
"GPA33"	"GPA33"	0.809263539654587	-0.848845045319026	0.0128013643234179	"IS01"	0.809263539654587
"GMIP"	"GMIP"	0.805099018210474	-1.11848185103707	0.308841319902752	"IS01"	0.805099018210474
"TNF"	"TNF"	0.80433749461283	-0.825680541110061	-0.00672573432651353	"IS01"	0.80433749461283
"NUAK2"	"NUAK2"	0.804087857196652	-0.408659517622741	-0.457104002826662	"IS01"	0.804087857196652
"CD79B"	"CD79B"	0.801770960603379	-0.606170551725123	-0.241072452744282	"IS01"	0.801770960603379
"SORL1"	"SORL1"	0.790951923740481	-0.316755842862125	-0.5417385109149	"IS01"	0.790951923740481
"IL21"	"IL21"	0.760392917767877	-0.418637722305242	-0.397483335754728	"IS01"	0.760392917767877
"AMPD3"	"AMPD3"	0.748319617235206	-0.73314328027584	-0.0441159779450471	"IS01"	0.748319617235206
"FAM129C"	"FAM129C"	0.747633004550211	-0.0374907430282701	-0.795111337105406	"IS01"	0.747633004550211
"SNX22"	"SNX22"	0.739158493011895	0.220801020839355	-1.06476458754916	"IS01"	0.739158493011895
"SELP"	"SELP"	0.736300223744085	-0.663539060059687	-0.10590034402148	"IS01"	0.736300223744085
"SYK"	"SYK"	0.726851370663908	-1.25002906172664	0.538455964350195	"IS01"	0.726851370663908
"SELPLG"	"SELPLG"	0.726633244285101	-1.27435021617764	0.564982623952322	"IS01"	0.726633244285101
