"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"ARPC5L__pos"	12.7506669079796	12.168677931198	3.53245550092772	2.58895934580611	2.22044604925031e-16
"ARRB2__pos"	2.22044604925031e-16	4.26234882065725	20.4355946428589	2.22044604925031e-16	0.0897370817935429
"ASGR2__pos"	2.22044604925031e-16	9.24743850769889	15.55122289494	1.69664401894309	0.757346898544199
"ATP1A1__pos"	19.2961585783788	2.22044604925031e-16	4.59671951827582	3.13402566284926	1.15113897139003
"ATP5J2__pos"	9.41276985260686	19.9841060975573	1.61200508042306	2.22044604925031e-16	2.22044604925031e-16
"ATP6V0E2__pos"	2.91066641590818	5.20439357653921	9.09227174091044	2.72267386248399	5.81736580275839
"AURKC__pos"	2.22044604925031e-16	8.05142071208364	11.6773472381727	1.79525637921554	4.63568956303559
"AVPI1__pos"	13.612306157758	9.77447084331052	4.54147933144194	1.76784688081359	2.22044604925031e-16
"B3GNT7__pos"	2.35725441981415	4.80412323553799	13.3707393508351	4.50950550105216e-16	4.20953156656812
"BID__pos"	9.20802411660074	3.00432293251324	8.75594741756582	5.45683734399062	1.8407613532542
"BIN3__pos"	6.7300179935648	4.74739306945857	7.24705612242947	7.26540468577671	2.25645068255287
"BLVRB__pos"	2.22044604925031e-16	10.8460871104096	9.29493796705339	9.7532267916278	2.22044604925031e-16
"BMP2K__pos"	11.7958378666093	2.22044604925031e-16	12.4898583685478	2.74076662105462	2.22044604925031e-16
"BSCL2__pos"	2.22044604925031e-16	21.6172423373809	2.22044604925031e-16	6.40505672425323	3.28666856845143
"C11orf45__pos"	9.50954105548749	2.22044604925031e-16	14.2368331814141	2.65259721181177	0.145583386702372
"C19orf35__pos"	2.22044604925031e-16	3.00056038707661	19.9315507797583	1.24032834218913e-10	2.22044604925031e-16
"C1QB__pos"	2.22044604925031e-16	7.52318570652138	17.4613389828362	2.24449138374359e-07	2.22044604925031e-16
"C1QC__pos"	2.22044604925031e-16	5.9280020507576	18.8880088448452	2.22044604925031e-16	2.22044604925031e-16
"C1orf162__pos"	2.22044604925031e-16	6.33186339168052	19.1744458879145	2.22044604925031e-16	2.22044604925031e-16
"C2__pos"	5.27430339679319	8.78361711707228	11.5428404007117	2.00496455925068	2.22044604925031e-16
"C3AR1__pos"	0.27177525343559	2.22044604925031e-16	21.4044896431477	3.47094984332793	2.22044604925031e-16
"C9orf50__pos"	2.22044604925031e-16	8.77501880173417	7.90064696879493	2.22044604925031e-16	8.13480153247608
"CASP1__pos"	2.22044604925031e-16	7.15218602241749	16.75892206081	2.75365221903274	2.22044604925031e-16
"CATSPER1__pos"	13.6625354421597	12.8253791666643	3.85947272935673	2.22044604925031e-16	2.22044604925031e-16
"CCL2__pos"	5.98326306822069	6.97731324775007	11.297873187803	3.34351800224625	0.321507878223535
"CCL23__pos"	2.09480285028544	10.473720107036	9.49251953526189	6.73753360777143	2.22044604925031e-16
"CCR1__pos"	2.58882381072351	2.74151596013357	19.7057581901477	2.22044604925031e-16	2.22044604925031e-16
"CCRL2__pos"	2.22044604925031e-16	1.88004066635487	17.4030743842021	6.89824096628232	2.22044604925031e-16
"CD14__pos"	2.22044604925031e-16	9.35248625863036	14.9859661345812	2.74168027563688	2.22044604925031e-16
"CD163L1__pos"	2.22044604925031e-16	12.9251979557263	8.73282517929822	6.96404400025558	0.498187635462378
"CD180__pos"	0.56687779686524	6.29929641906037	16.8349736422943	3.28439104815701	2.22044604925031e-16
"CD209__pos"	2.22044604925031e-16	5.50564367903553	9.07011354601891	13.65866029042	2.22044604925031e-16
"CD300C__pos"	1.63983405531908	9.1135891416898	15.938828668505	2.22044604925031e-16	0.156762653160492
"CD300LB__pos"	10.0774137973941	6.61639848109347	11.1903570749709	2.22044604925031e-16	2.22044604925031e-16
"CD33__pos"	2.22044604925031e-16	10.2233782291582	16.2348385620028	2.22044604925031e-16	2.22044604925031e-16
"CD58__pos"	14.2009158319275	1.89589344108531	8.0599545403192	4.33772364411976	2.22044604925031e-16
