"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"ST3GAL6"	"ST3GAL6"	0.695155338876451	-0.606643205366225	0.183996748197213	0.0859413163049074	-0.303486069921542	"S01"	0.695155338876451	"IS01"
"PFKFB3"	"PFKFB3"	0.675294853802418	-0.891746105266959	0.54466841566269	-0.130746479146984	-0.310796642780364	"S01"	0.675294853802418	"IS01"
"CNIH3"	"CNIH3"	0.673241068099999	-0.478185589777984	-0.460527446883332	-0.504548722759059	0.565500513897359	"S01"	0.673241068099999	"IS01"
"RUVBL1"	"RUVBL1"	0.665755105365766	0.242623570878931	-0.0735620853878532	-0.663307867457946	-0.0392207970697429	"S01"	0.665755105365766	"IS01"
"HK2"	"HK2"	0.645303299435691	-0.529343807374998	0.2798771068061	-0.725269975096539	0.118696238135302	"S01"	0.645303299435691	"IS01"
"IFITM10"	"IFITM10"	0.624589353675324	0.264922609515463	-0.0753303754569249	-0.195653739552467	-0.321985391026059	"S01"	0.624589353675324	"IS01"
"TRNAU1AP"	"TRNAU1AP"	0.609818214187825	0.312349243783056	0.393266372130733	-0.768858118862482	-0.373364828910653	"S01"	0.609818214187825	"IS01"
"PPT1"	"PPT1"	0.608013285606256	-0.616255851734958	0.574532802495287	-0.333679815383849	-0.312864789172455	"S01"	0.608013285606256	"IS01"
"HGF"	"HGF"	0.607225019085296	-0.0304423313252853	0.248930357404635	-0.136466811105916	-0.469512203210623	"S01"	0.607225019085296	"IS01"
"SNRNP40"	"SNRNP40"	0.573232277333878	0.335565615111868	0.134117322464284	-0.516949654294252	-0.303167003908922	"S01"	0.573232277333878	"IS01"
"ALDOC"	"ALDOC"	0.565437653887024	-0.21280274566106	0.272761875567839	-0.197724812935438	-0.329876557580863	"S01"	0.565437653887024	"IS01"
"PET117"	"PET117"	0.562342583061816	-0.480097823465546	-0.172772711358632	-0.5231323039377	0.399051535082424	"S01"	0.562342583061816	"IS01"
"COPS6"	"COPS6"	0.555255183504453	0.464397895332476	-0.296575330293465	-0.234217617545303	-0.173236846527417	"S01"	0.555255183504453	"IS01"
"IQSEC2"	"IQSEC2"	0.551691302730295	0.397431183364717	-0.0332129014754629	-0.224224639000715	-0.366399866067213	"S01"	0.551691302730295	"IS01"
"COPRS"	"COPRS"	0.539248654688298	0.32331789924922	-0.0185593559879266	-0.176761458287661	-0.362516997440524	"S01"	0.539248654688298	"IS01"
"CTNNAL1"	"CTNNAL1"	0.493718749178779	0.322141440287925	-0.0279419735161839	-0.0675934364703378	-0.396208203209104	"S01"	0.493718749178779	"IS01"
"SKP1"	"SKP1"	0.488728039337964	-1.004547876565	0.202013099874561	0.0184327099214295	0.0565030987365465	"S01"	0.488728039337964	"IS01"
"TFPI2"	"TFPI2"	0.485734409428008	0.0911826615306581	0.00885284290322437	0.0516530454573619	-0.376622601401883	"S01"	0.485734409428008	"IS01"
"FAM187A"	"FAM187A"	0.483313934420605	0.445455771434838	0.13666085541066	-0.35236128095283	-0.414486767521384	"S01"	0.483313934420605	"IS01"
"S100A16"	"S100A16"	0.469777424600652	0.433845483994739	0.393195615091855	-0.233908396863985	-0.693998451784017	"S01"	0.469777424600652	"IS01"
"SEMA4B"	"SEMA4B"	0.449421166040992	-0.402562628708888	0.138821989995722	-0.520042618761757	0.157809465253782	"S01"	0.449421166040992	"IS01"
"TMC7"	"TMC7"	0.430353361090288	-0.638221683601856	-0.14271052996408	0.398604896683109	-0.0500216162815753	"S01"	0.430353361090288	"IS01"
"ARSI"	"ARSI"	0.420632382467628	-0.219117602389649	0.105890779501306	-0.00903434434932116	-0.218335580341968	"S01"	0.420632382467628	"IS01"
"TMX2"	"TMX2"	0.416636287900617	0.0566323773061918	-0.0846545481682753	-0.478394609537903	0.0987729061115504	"S01"	0.416636287900617	"IS01"
"AKAP6"	"AKAP6"	0.412412551284269	-0.391010374559092	-0.416379371984461	-0.110069081866475	0.386169721134374	"S01"	0.412412551284269	"IS01"
"ITGA3"	"ITGA3"	0.364166154287474	-0.673757204468559	0.248547065876503	-0.304882983219762	0.12146803613653	"S01"	0.364166154287474	"IS01"
"DESI1"	"DESI1"	0.353186532901765	-0.0888358285498182	0.307139757187775	-0.135101026813623	-0.338421623309544	"S01"	0.353186532901765	"IS01"
"RELA"	"RELA"	0.272781589435621	-0.16405362889571	-0.0719443013643941	-0.107093694708581	0.0540179493995083	"S01"	0.272781589435621	"IS01"
"LAMTOR2"	"LAMTOR2"	0.0497161410859104	1.39120893465111	0.389035611977293	-0.225510268298703	-0.951860122236016	"S02"	1.39120893465111	"IS02"
"PNPLA6"	"PNPLA6"	0.0478833272038999	1.37922282429803	0.343045593853822	-0.34801776731617	-0.827499740948668	"S02"	1.37922282429803	"IS02"
"UQCRQ"	"UQCRQ"	0.0691888111193246	1.33192109303634	-0.00850869196242569	-0.17907845860166	-0.623058388749087	"S02"	1.33192109303634	"IS02"
"ROMO1"	"ROMO1"	0.5035620382563	1.32869004413254	-0.405831742781068	-0.240355128369307	-0.501785666861263	"S02"	1.32869004413254	"IS02"
"CISD3"	"CISD3"	0.03110970100144	1.32609489494346	0.483924485343341	-0.362311906065997	-0.900404011552844	"S02"	1.32609489494346	"IS02"
"STAB1"	"STAB1"	-0.446250878790233	1.31422802409545	0.748259569586722	0.488478478743991	-1.37623365499168	"S02"	1.31422802409545	"IS02"
"HK3"	"HK3"	0.132717105627657	1.31012630659946	1.19225455291738	-0.455267012508686	-1.49644091715771	"S02"	1.31012630659946	"IS02"
"SIPA1"	"SIPA1"	-0.421914983489059	1.29422416238637	0.881121158161567	0.13771254680337	-1.27054814125311	"S02"	1.29422416238637	"IS02"
"C16orf13"	"C16orf13"	0.231955206324193	1.294183383541	-0.498800495671292	-0.129850451901734	-0.313432677305885	"S02"	1.294183383541	"IS02"
"MRPL24"	"MRPL24"	0.331784870588797	1.28439361027264	-0.249556620702634	-0.627348986940958	-0.263871030182331	"S02"	1.28439361027264	"IS02"
"SLX1A"	"SLX1A"	0.596675565007267	1.27990262573638	0.570843360635753	-0.731145742468646	-1.05138774836895	"S02"	1.27990262573638	"IS02"
"GPX1"	"GPX1"	-0.0802412398270016	1.27978646677069	1.13338094517092	-0.60607189463346	-1.20820469213767	"S02"	1.27978646677069	"IS02"
"TRPV2"	"TRPV2"	0.172872339512691	1.26832033608711	0.558931500806934	-0.344071010337273	-1.02946967411086	"S02"	1.26832033608711	"IS02"
"TMSB10"	"TMSB10"	0.222507688521191	1.26656553497439	0.190994580877789	-0.342502623748462	-0.745655289056077	"S02"	1.26656553497439	"IS02"
