"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"FMOD__pos"	0.597836528208495	6.56060988191988	0.869393654829371	2.01822219738556	2.22044604925031e-16
"TNC__pos"	2.22044604925031e-16	3.64598863576527	1.2894218240482	0.000349639662604867	4.63721652268954
"PI16__pos"	5.2843252293135	2.30606992195651	2.22044604925031e-16	3.16037020602874	2.22044604925031e-16
"COMP__pos"	2.22044604925031e-16	6.57427583760226	1.0768257639543	1.71624845798569	1.33102863464722
"MMP13__pos"	2.22044604925031e-16	4.24729916772075	2.22044604925031e-16	2.22044604925031e-16	6.68903519659986
"COL11A1__pos"	2.22044604925031e-16	5.16639933079784	1.87813056597916	1.2894115513306	2.61889902976856
"POSTN__pos"	2.14863775433953	4.44764650196475	0.0346417235628359	0.11226199758355	1.98392180217678
"ALDH1A3__pos"	5.15442331785105	2.2784396687985	1.38192535316345	1.00114206238488	2.22044604925031e-16
"OGN__pos"	3.59070315516341	5.99436835116019	0.65596923616988	2.22044604925031e-16	2.22044604925031e-16
"DKK1__pos"	4.58734184301194	1.59004969638597	2.22044604925031e-16	3.10327068620133	1.18659196211295
"MOXD1__pos"	3.05700804745769	3.69737445395616	2.22044604925031e-16	1.47874516702131	2.06179645750582
"C7__pos"	3.21174254771669	6.7248557654199	2.22044604925031e-16	0.974758299944302	2.22044604925031e-16
"MGST1__pos"	4.52282004473806	0.798672975385251	0.0498133091862363	2.47029303285703	1.97935871641167
"ACTG2__pos"	3.1512456797879	4.5535809091671	2.22044604925031e-16	1.420966466065	0.874557017513142
"CDK4__pos"	3.02215677597512	6.13287981056718	0.0407105719102194	0.592798948677845	0.796324041484848
"CCL14__pos"	3.14284521408756	2.38726512642934	0.580951613232409	3.47095707558687	2.22044604925031e-16
"HMGA1__pos"	0.382456958826963	0.121821925790759	0.74464119745294	3.06406767522428	5.45640022238005
"BST2__pos"	1.78223178335527	0.953733481971594	2.22044604925031e-16	6.09512670768545	0.471817408255402
"PCOLCE2__pos"	5.36443201363718	1.73674725175462	0.922748988581609	0.627513784585059	0.949969889777455
"S100A2__pos"	0.190458052841551	1.2865193796923	0.653915766234414	1.92309367410642	6.50110907126735
"CD24__pos"	3.9346739401691	4.29279309128893	1.73426555297903	0.363623481449778	0.147880183340788
"MARCH9__pos"	1.76699817638626	6.4684650312969	1.32108659641038	0.593947939476644	0.0697882898707178
"SCARA5__pos"	7.7509172636457	1.22980490969992	0.132093836740693	1.34621726348779	2.22044604925031e-16
"C1QTNF3__pos"	3.24233475241513	5.4931265788059	0.563631446013178	0.510291933472566	0.735457807162776
"CXCL14__pos"	0.272126494859221	6.62585763231726	1.25392730388876	2.48525903005222	0.203639343459711
"RARRES1__pos"	3.61560986983886	2.11306942194351	2.22044604925031e-16	4.04400548025302	0.369160596846383
"OLFM2__pos"	1.16453478877935	6.23661476855732	2.30997707576465	0.197458550502996	2.22044604925031e-16
"GSTM1__pos"	3.11694990807236	3.30447136422299	0.670667366369946	2.00678260423625	1.569225246989
"FOS__pos"	2.70785222002578	4.29080122136724	1.09019681600661	1.59576448839924	0.0750817171516373
"MME__pos"	2.22044604925031e-16	4.01703907165492	2.22044604925031e-16	0.841051829800054	5.21507321739719
