"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"TOB2"	"TOB2"	0.671137516530972	0.222950101120499	-0.751400637840658	"S01"	0.671137516530972	"IS01"
"ACACB"	"ACACB"	0.665621523628165	0.626253288099673	-1.19109010639445	"S01"	0.665621523628165	"IS01"
"ENPP6"	"ENPP6"	0.66504102814756	0.301654178990499	-0.833420340066531	"S01"	0.66504102814756	"IS01"
"UTP14A"	"UTP14A"	0.659547810850828	-0.325632466121628	-0.138928727491674	"S01"	0.659547810850828	"IS01"
"TLE6"	"TLE6"	0.657014166440714	0.0067713886883743	-0.502839818302367	"S01"	0.657014166440714	"IS01"
"NRBP2"	"NRBP2"	0.653484119625008	-0.00817451017653432	-0.483729711518405	"S01"	0.653484119625008	"IS01"
"ZNF444"	"ZNF444"	0.650944425598794	-0.247329840548881	-0.218616421743848	"S01"	0.650944425598794	"IS01"
"PICK1"	"PICK1"	0.647715277834752	0.141550668677756	-0.644157533355493	"S01"	0.647715277834752	"IS01"
"RP11.894J14.5"	"RP11.894J14.5"	0.647115641452142	0.0304797698930417	-0.52146820451871	"S01"	0.647115641452142	"IS01"
"PMEL"	"PMEL"	0.637693649031062	0.177805557916892	-0.676500947243458	"S01"	0.637693649031062	"IS01"
"POLB"	"POLB"	0.632067746726566	-0.0368339065166575	-0.436041183810153	"S01"	0.632067746726566	"IS01"
"SEZ6L2"	"SEZ6L2"	0.630010469538309	-0.10665297705846	-0.357651799690367	"S01"	0.630010469538309	"IS01"
"EPHX1"	"EPHX1"	0.625774492655444	-0.102286388690571	-0.359263454738016	"S01"	0.625774492655444	"IS01"
"ACY1"	"ACY1"	0.62313030323434	-0.336629906528031	-0.09936693470601	"S01"	0.62313030323434	"IS01"
"RFX5"	"RFX5"	0.623026690341572	0.291995572810348	-0.791111977265125	"S01"	0.623026690341572	"IS01"
"CLDND1"	"CLDND1"	0.620240659115543	0.146433993112962	-0.628815973017987	"S01"	0.620240659115543	"IS01"
"MEOX2"	"MEOX2"	0.616447925228792	0.283232577892627	-0.776507632164014	"S01"	0.616447925228792	"IS01"
"FH"	"FH"	0.607276310977239	-0.254243323271765	-0.178082213053897	"S01"	0.607276310977239	"IS01"
"FAM13A"	"FAM13A"	0.605553637113168	0.495366945844025	-1.00175425551154	"S01"	0.605553637113168	"IS01"
"UBE2Z"	"UBE2Z"	0.604438418625143	0.0635947165570649	-0.525733739424105	"S01"	0.604438418625143	"IS01"
"EML2"	"EML2"	0.600363974070618	0.0099102006248938	-0.463580026072265	"S01"	0.600363974070618	"IS01"
"IRS2"	"IRS2"	0.595847259026706	0.0695483737148074	-0.525808215121352	"S01"	0.595847259026706	"IS01"
"HCAR1"	"HCAR1"	0.581932142892274	0.311477132755877	-0.781566853233506	"S01"	0.581932142892274	"IS01"
"ESRRG"	"ESRRG"	0.581255675710569	0.430712594619164	-0.912279374088465	"S01"	0.581255675710569	"IS01"
"ZBTB18"	"ZBTB18"	0.575105598868418	0.29272520411911	-0.755782530717325	"S01"	0.575105598868418	"IS01"
"TP53"	"TP53"	0.569880597486671	0.372460995710927	-0.839594767946758	"S01"	0.569880597486671	"IS01"
"PPFIBP2"	"PPFIBP2"	0.566929693559742	-0.0113350754602666	-0.414989499302406	"S01"	0.566929693559742	"IS01"
"LIPT2"	"LIPT2"	0.566036865102498	-0.166720241068932	-0.243309785306067	"S01"	0.566036865102498	"IS01"
"GNG7"	"GNG7"	0.565652319490871	0.238427685594808	-0.688898554440564	"S01"	0.565652319490871	"IS01"
"RET"	"RET"	0.564646202169244	0.167462625826953	-0.610040544148895	"S01"	0.564646202169244	"IS01"
"EIF3E"	"EIF3E"	0.563400732300457	-0.3563216302446	-0.0326595348621517	"S01"	0.563400732300457	"IS01"
"MPHOSPH8"	"MPHOSPH8"	0.563181117199324	0.191949262170766	-0.635884226857644	"S01"	0.563181117199324	"IS01"
"NDRG4"	"NDRG4"	0.562425188453836	-0.0137420057594734	-0.4089442027775	"S01"	0.562425188453836	"IS01"
"GNAO1"	"GNAO1"	0.560034785310221	0.384506151111884	-0.84542713314074	"S01"	0.560034785310221	"IS01"
"PPM1J"	"PPM1J"	0.555765879127964	-0.157894483826234	-0.245278515771345	"S01"	0.555765879127964	"IS01"
"INPP5B"	"INPP5B"	0.553872923846291	0.313701632368675	-0.76285838033554	"S01"	0.553872923846291	"IS01"
"GRIK4"	"GRIK4"	0.553212828082239	0.354720201161625	-0.807502963046432	"S01"	0.553212828082239	"IS01"
"SLFN12"	"SLFN12"	0.55006617751891	0.427068419645715	-0.884752004670052	"S01"	0.55006617751891	"IS01"
"NTN1"	"NTN1"	0.543916946362627	-0.138027858415933	-0.258208317964949	"S01"	0.543916946362627	"IS01"
"CNBP"	"CNBP"	0.543246539381563	0.0891893998522119	-0.507762952607916	"S01"	0.543246539381563	"IS01"
"C1orf95"	"C1orf95"	0.538449102348579	0.443179490288247	-0.893723514692772	"S01"	0.538449102348579	"IS01"
"HIST2H2BE"	"HIST2H2BE"	0.534495542130266	-0.0709979266695108	-0.324873254129109	"S01"	0.534495542130266	"IS01"
