"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"RARRES3"	"RARRES3"	1.42206759553794	-0.190534977247277	-1.17349095367718	"IS01"	1.42206759553794
"GBP4"	"GBP4"	1.42182550480258	-0.0840714458372349	-1.27090526630563	"IS01"	1.42182550480258
"FGD2"	"FGD2"	1.41794554026982	-0.0299583301488941	-1.31685698298744	"IS01"	1.41794554026982
"HLA.B"	"HLA.B"	1.41758845005156	0.0831637892375789	-1.42026924074874	"IS01"	1.41758845005156
"THEMIS"	"THEMIS"	1.41545482819206	-0.238190393315833	-1.12351395907394	"IS01"	1.41545482819206
"IL16"	"IL16"	1.41085997830103	-0.165895217932547	-1.18546371732518	"IS01"	1.41085997830103
"CD69"	"CD69"	1.40697358883894	-0.312404768664337	-1.04740674245854	"IS01"	1.40697358883894
"IGSF6"	"IGSF6"	1.40496772656785	-0.164028498273191	-1.1815894354616	"IS01"	1.40496772656785
"CD244"	"CD244"	1.40280596281492	0.110516577449766	-1.43134099730331	"IS01"	1.40280596281492
"DTHD1"	"DTHD1"	1.40119842512854	-0.273147943065353	-1.07793608929684	"IS01"	1.40119842512854
"LAT"	"LAT"	1.40113087514403	-0.398670399683141	-0.962748173006322	"IS01"	1.40113087514403
"TAP1"	"TAP1"	1.40026780296655	-0.189448770294737	-1.15381911113206	"IS01"	1.40026780296655
"LAG3"	"LAG3"	1.39884052813037	-0.617559867681147	-0.75982059261486	"IS01"	1.39884052813037
"SAMSN1"	"SAMSN1"	1.39881388821513	0.165207025469154	-1.47771592879147	"IS01"	1.39881388821513
"IL21R"	"IL21R"	1.39703784893318	-0.2783760623589	-1.06919649840461	"IS01"	1.39703784893318
"NCKAP1L"	"NCKAP1L"	1.39676690896551	0.150818225362657	-1.46257842045824	"IS01"	1.39676690896551
"FGD3"	"FGD3"	1.3934329279199	0.0392475663223499	-1.35708964547228	"IS01"	1.3934329279199
"ZNF683"	"ZNF683"	1.3908638826211	-0.257791348155636	-1.08222247772225	"IS01"	1.3908638826211
