"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"CLEC3B"	"CLEC3B"	1.2614958760417	-0.341755031986757	-0.782492582889237	0.436692971851304	-0.97831820340616	"IS01"	1.2614958760417
"ABCA10"	"ABCA10"	1.25833262992322	0.0408415968635947	-0.332415924049003	-0.0794878661013564	-1.24483386728642	"IS01"	1.25833262992322
"CITED2"	"CITED2"	1.25675012517352	-0.109391189161032	-0.885246255723985	-0.814535709031247	-0.00663767827722982	"IS01"	1.25675012517352
"NPR1"	"NPR1"	1.25457482070782	-0.0690482757051005	-0.774658888842142	0.0958670906993725	-0.948499624028656	"IS01"	1.25457482070782
"CD55"	"CD55"	1.24619336564244	-0.0310268274815503	-1.15027111573902	-0.0996803061037151	-0.515121708645374	"IS01"	1.24619336564244
"TNXB"	"TNXB"	1.24507524048967	-0.0993725595177274	-1.14397337418515	0.401932019778954	-0.899803389942445	"IS01"	1.24507524048967
"PLPP3"	"PLPP3"	1.24336192383413	0.378423265320485	-0.60666561899175	-0.684678489177807	-0.818901719579617	"IS01"	1.24336192383413
"FIGF"	"FIGF"	1.2374985779572	0.0237505980164101	-1.00902353867382	0.211859070888462	-0.948517849339929	"IS01"	1.2374985779572
"CD248"	"CD248"	1.23672072529564	-0.19460328569772	-1.20568842757226	0.103437335934883	-0.476630728959081	"IS01"	1.23672072529564
"HTRA3"	"HTRA3"	1.22689746870424	-0.374104090130147	-1.46043563173726	0.179521890097255	-0.155245933038072	"IS01"	1.22689746870424
"GLIPR2"	"GLIPR2"	1.223041476812	-0.184881113031998	-1.51656472570321	0.0336475108668363	-0.170300392478347	"IS01"	1.223041476812
"GALNT12"	"GALNT12"	1.21709381012761	-0.0900146559553657	-0.971935431450289	-0.0903704829877966	-0.56366994491872	"IS01"	1.21709381012761
"SEMA3C"	"SEMA3C"	1.20793634956544	-0.0995465518246797	-0.745496749490494	-0.387514629109429	-0.448057395102444	"IS01"	1.20793634956544
"WNT2B"	"WNT2B"	1.19631757281859	0.0445756865753803	-0.863419890851007	-0.322146509564782	-0.550441248501023	"IS01"	1.19631757281859
"CDC42EP2"	"CDC42EP2"	1.19506395304193	-0.647537873080892	-0.933063060644684	0.21358888549384	-0.269172045338816	"IS01"	1.19506395304193
"FABP3"	"FABP3"	1.19434764888887	-0.290569494818345	-0.863595976601897	-0.0955757104186371	-0.408600515163984	"IS01"	1.19434764888887
"DCN"	"DCN"	1.19198234463661	0.42578598741879	-1.19539598135785	-0.377485937204576	-0.632704360976623	"IS01"	1.19198234463661
"C1orf21"	"C1orf21"	1.19013463311487	0.384250672031003	-1.24476498405514	-0.43384153537502	-0.499623281325966	"IS01"	1.19013463311487
"ABCA8"	"ABCA8"	1.18925525425959	0.33055407681962	-0.705216277616317	-0.033779387051679	-1.21459934589254	"IS01"	1.18925525425959
"HSPA12B"	"HSPA12B"	1.18770613635425	0.522237071816409	-0.577670000442304	-0.38811928837174	-1.18741982017358	"IS01"	1.18770613635425
"MEDAG"	"MEDAG"	1.18121170351482	0.0142552827120018	-1.59994784461927	0.367725633490479	-0.560357883168369	"IS01"	1.18121170351482
"ADAMTSL4"	"ADAMTSL4"	1.16804888451256	-0.120237596736009	-0.968971855349529	0.219943286637796	-0.754571834252853	"IS01"	1.16804888451256
"TFPI"	"TFPI"	1.16415670242087	0.109641470407448	-1.31853908266835	-0.514277063096733	-0.05836571814622	"IS01"	1.16415670242087
"ACVRL1"	"ACVRL1"	1.15654859110379	0.236289360191173	-1.1962226673598	0.296910187272452	-1.00168119058137	"IS01"	1.15654859110379
