"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"AMOTL2"	"AMOTL2"	0.281691339205416	0.469949670515943	-0.658972534426163	"IS02"	0.469949670515943
"FBXO27"	"FBXO27"	-0.235594009651352	0.462693400336646	-0.237867094102645	"IS02"	0.462693400336646
"MRVI1"	"MRVI1"	-0.407544736313752	0.461605491153428	-0.0991083936267237	"IS02"	0.461605491153428
"PARP6"	"PARP6"	-0.0973564400182221	0.460728958659036	-0.346802717841535	"IS02"	0.460728958659036
"PLSCR2"	"PLSCR2"	0.229269911091509	0.458144980015649	-0.606091844057962	"IS02"	0.458144980015649
"ZNF219"	"ZNF219"	0.128249887670229	0.450334797805935	-0.517960140102076	"IS02"	0.450334797805935
"PPARGC1A"	"PPARGC1A"	-0.0958628755383125	0.447229635425206	-0.335552705786733	"IS02"	0.447229635425206
"LMOD1"	"LMOD1"	-0.609611352702707	0.446584175349944	0.0766239691679949	"IS02"	0.446584175349944
"CCDC33"	"CCDC33"	-0.133123660506569	0.446013284830216	-0.30458031942522	"IS02"	0.446013284830216
"RPGRIP1"	"RPGRIP1"	-0.0796698292084677	0.441599504400279	-0.343334454779861	"IS02"	0.441599504400279
