"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"SMIM1"	"SMIM1"	0.824232711693048	0.419169538159499	0.146799060487236	-1.04373365317101	"IS01"	0.824232711693048
"TUBGCP2"	"TUBGCP2"	0.791396631649498	-0.163493022808155	-0.16841575584646	-0.166417055992869	"IS01"	0.791396631649498
"CTAG1A"	"CTAG1A"	0.790534402566827	0.0150555013520152	-0.315395000733315	-0.184964820210291	"IS01"	0.790534402566827
"NUDT22"	"NUDT22"	0.786045461808452	-0.233326374823398	-0.232679553032924	-0.0339131870093629	"IS01"	0.786045461808452
"TESC"	"TESC"	0.781602961235698	-0.151495537412022	0.531868872657639	-0.871834515660189	"IS01"	0.781602961235698
"THAP3"	"THAP3"	0.774346163158637	-0.360043196288706	-0.372855331792771	0.231312167056274	"IS01"	0.774346163158637
"TBL3"	"TBL3"	0.772382088597594	0.23668504706844	-0.313700327552884	-0.381616309824926	"IS01"	0.772382088597594
"SYTL1"	"SYTL1"	0.771904531960313	0.512102797247251	-0.28093690347316	-0.670235770213858	"IS01"	0.771904531960313
"TSSC4"	"TSSC4"	0.766755374860022	-0.121474349858197	-0.283533296933274	-0.0752186597482935	"IS01"	0.766755374860022
"ZDHHC12"	"ZDHHC12"	0.762812265662204	-0.280134790747223	-0.292673423645052	0.0839081108564633	"IS01"	0.762812265662204
"NCCRP1"	"NCCRP1"	0.761132620422243	-0.523861228085438	0.165864647678062	-0.146920981858376	"IS01"	0.761132620422243
"GP1BB"	"GP1BB"	0.758630786326796	0.304240411958516	-0.115840130976633	-0.633845612473904	"IS01"	0.758630786326796
"TNNI2"	"TNNI2"	0.75061129095579	-0.116353424840498	-0.422763492620678	0.069181130546859	"IS01"	0.75061129095579
"GFER"	"GFER"	0.747604821081684	-0.238030345679354	-0.540737911400733	0.302169752437039	"IS01"	0.747604821081684
"ZNF414"	"ZNF414"	0.744607771792849	-0.637694876099277	0.377671968119352	-0.242691803035379	"IS01"	0.744607771792849
"NDUFV1"	"NDUFV1"	0.742035060799526	-0.0914854359919322	-0.374455449798228	0.00302115738937034	"IS01"	0.742035060799526
"QTRT1"	"QTRT1"	0.736479957272026	-0.215969427994109	-0.336239210940037	0.0839977998885996	"IS01"	0.736479957272026
"CNPY2"	"CNPY2"	0.729736838741988	0.177961558269453	-0.413737357481436	-0.200727537830596	"IS01"	0.729736838741988
"WDR83OS"	"WDR83OS"	0.725810877587503	-0.37516242476389	-0.473688880270384	0.376067406185229	"IS01"	0.725810877587503
"PIK3C3"	"PIK3C3"	0.71596209558108	-0.280408919412164	0.0313508610738045	-0.211037764375131	"IS01"	0.71596209558108
"TNFRSF18"	"TNFRSF18"	0.715005726739424	-0.140263508203468	-0.208910753196613	-0.100528766529972	"IS01"	0.715005726739424
"ASPSCR1"	"ASPSCR1"	0.702777405408918	0.114564466077231	-0.350574400980234	-0.188342436230002	"IS01"	0.702777405408918
"NENF"	"NENF"	0.702038560364593	-0.0656521281734458	0.0242479710870928	-0.395101402392887	"IS01"	0.702038560364593
"WDR13"	"WDR13"	0.701090968821094	-0.162806839680069	-0.289699411410984	0.00978684321732965	"IS01"	0.701090968821094
"CPNE7"	"CPNE7"	0.695546382870748	-0.0659415454325066	-0.787586674025113	0.420996571262025	"IS01"	0.695546382870748
"CLIC3"	"CLIC3"	0.679506833580471	0.334131393028713	-0.110718382720273	-0.618088063554499	"IS01"	0.679506833580471
"AL513523.2"	"AL513523.2"	0.674512814043798	-0.197558178925295	0.0141245155050862	-0.245365327284638	"IS01"	0.674512814043798
"SLCO4A1"	"SLCO4A1"	0.674347334902617	0.099529054340976	-0.581181474754879	0.0737391173515795	"IS01"	0.674347334902617
"SLC4A2"	"SLC4A2"	0.669287129744598	-0.061607954283164	-0.368979094161586	0.0145139574174613	"IS01"	0.669287129744598
"TSEN54"	"TSEN54"	0.663114121954134	0.0913390271560389	-0.617040414060326	0.124126087437249	"IS01"	0.663114121954134
"TSTD1"	"TSTD1"	0.65661530413377	-0.573010173101693	0.0146390453219682	0.114316967653275	"IS01"	0.65661530413377
"ECI1"	"ECI1"	0.649683620428551	-0.162390248577199	-0.300201351622238	0.0515284912287349	"IS01"	0.649683620428551
"CTAG1B"	"CTAG1B"	0.64863112891022	0.161631385895798	-0.326021922837058	-0.223356871337955	"IS01"	0.64863112891022
"ATP5B"	"ATP5B"	0.639976868295499	0.143731719854769	-0.431847695460075	-0.0955593436236903	"IS01"	0.639976868295499
"PTGDS"	"PTGDS"	0.628997748829453	0.319905132279306	-0.216203928003939	-0.468296991111807	"IS01"	0.628997748829453
"TIMM9"	"TIMM9"	0.628788238644846	-0.324998819381404	0.406708986897403	-0.491293795527885	"IS01"	0.628788238644846
"TNFRSF4"	"TNFRSF4"	0.6266014658478	-0.258462665743764	0.489149446756853	-0.6342702561649	"IS01"	0.6266014658478
"HPN"	"HPN"	0.623251934917825	-0.330984487423287	0.610379452888551	-0.685991264051316	"IS01"	0.623251934917825
"ATHL1"	"ATHL1"	0.621373315264675	0.305106233230538	-0.240501845798803	-0.42554473585622	"IS01"	0.621373315264675
"RTN4IP1"	"RTN4IP1"	0.619649110546127	0.0574795411860866	-0.396544731831635	-0.0381380596691952	"IS01"	0.619649110546127
